heating
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,68101.78820651186,81062.02726485052,97940.41980545294
retrofit,76322.21487350359,84928.95422651012,94405.94901183664
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6801.084699185604,10353.001587337203,14242.04777562311
retrofit,12864.420865766957,13893.987612686578,14924.292292479313
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,65598.38895037092,73926.53626102695,86178.00585406477
retrofit,72813.86200019426,77289.57993994182,82412.57691277273
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,7083.066641805659,9790.703986711453,12812.556154143142
retrofit,11655.502610898966,12577.673524815478,13501.672570524825
CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,51608.25138184891,81640.51089929647,111459.52407915003
retrofit,103525.24872687507,107130.98027223934,110503.08074751326
CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly)  IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6907.7526206632065,8274.150376980426,10015.547258012539
retrofit,9061.477326888666,9782.520758387436,10519.876514954829
TOTAL [kWh],min,avg,max
no retrofit,321299.60457001725,446932.76677174226,584599.0100389479
retrofit,448104.2439729476,512955.4557419767,577567.5322374384
roofcons
CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3646.453769563452,3923.5563431996416,4200.658916835831
retrofit,3646.453769563452,6722.112042849432,9682.669392868893
CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3200.973677584561,3446.6742942571027,3692.374910929645
retrofit,3200.973677584561,6349.564709327906,9388.386089412043
CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,2994.5536450708446,3217.1811392432164,3439.808633415588
retrofit,2994.5536450708446,6170.80383786745,9248.905847875465
CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,2834.0547539233203,3039.236716449222,3244.418678975124
retrofit,2834.0547539233203,6035.288363571965,9148.53352601497
CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,11130.659924567084,11130.659924567084,11130.659924567084
retrofit,4747.531659949441,7939.095792258262,11130.659924567084
CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,11130.659924567084,11130.659924567084,11130.659924567084
retrofit,4747.531659949441,7939.095792258262,11130.659924567084
CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,11130.659924567084,11130.659924567084,11130.659924567084
